"HUMAN_CONDITION","ROAD_CLASS","HIT_AND_RUN","TRAIN","PEDESTRIAN","INTERSECTION","MANNER_OF_COLLISION","ROADWAY_SURFACE","ROADWAY_DESIGN","ALIGNMENT","PRIMARY_FACTOR","SECONDARY_FACTOR","WEATHER","LOCATION_TYPE","ROADWAY_RELATION","ACCESS_CONTROL","LIGHTING"
"NONE","INTERSTATE","FALSE","FALSE","FALSE","FALSE","REAR END","DRY","ONE-WAY ROAD","STRAIGHT-LEVEL","VIOLATIONS","MOVEMENT PRIOR TO CRASH","CLEAR","OTHER","ON ROADWAY","FULL CONTROL (ONLY RAMP ENTRANCE & EXIT)","DAYLIGHT"
"NONE","CITY STREET","TRUE","FALSE","FALSE","TRUE","REAR END","DRY","TWO-WAY ROAD WITH PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","MOVEMENT PRIOR TO CRASH","CLEAR","BUSINESS CONTINUOUS","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","U.S. HWY","FALSE","FALSE","FALSE","FALSE","SIDESWIPE SAME","DRY","TWO-WAY ROAD WITH A PHYSICAL BARRIER","STRAIGHT-LEVEL","VIOLATIONS","MOVEMENT PRIOR TO CRASH","CLEAR","BUSINESS CONTINUOUS","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","CITY STREET","FALSE","FALSE","FALSE","FALSE","REAR END","DRY","TWO-WAY ROAD WITH PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","CONDITION OF DRIVER","CLEAR","BUSINESS CONTINUOUS","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","CITY STREET","FALSE","FALSE","FALSE","TRUE","LEFT TURN","DRY","ONE-WAY ROAD","STRAIGHT-LEVEL","VIOLATIONS","","CLEAR","BUSINESS, MIXED RESIDENTIAL","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","U.S. HWY","FALSE","FALSE","FALSE","TRUE","REAR END","DRY","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","VIOLATIONS","CLEAR","BUSINESS CONTINUOUS","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","CITY STREET","FALSE","FALSE","FALSE","FALSE","REAR END","DRY","TWO-WAY ROAD WITH PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","CONDITION OF DRIVER","CLEAR","BUSINESS CONTINUOUS","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","CITY STREET","FALSE","FALSE","FALSE","TRUE","REAR END","DRY","TWO-WAY ROAD WITH PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","","CLEAR","BUSINESS CONTINUOUS","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","CITY STREET","FALSE","FALSE","FALSE","TRUE","OTHER","DRY","OTHER","STRAIGHT-LEVEL","MOVEMENT PRIOR TO CRASH","VIOLATIONS","CLEAR","OTHER","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","PARISH ROAD","FALSE","FALSE","FALSE","FALSE","OTHER","DRY","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","","CLEAR","RESIDENTIAL DISTRICT","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","STATE HWY","TRUE","FALSE","FALSE","FALSE","LEFT TURN","DRY","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","MOVEMENT PRIOR TO CRASH","CLEAR","BUSINESS, MIXED RESIDENTIAL","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","CITY STREET","TRUE","FALSE","FALSE","TRUE","REAR END","DRY","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","MOVEMENT PRIOR TO CRASH","","CLEAR","BUSINESS CONTINUOUS","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","CITY STREET","FALSE","FALSE","FALSE","FALSE","LEFT TURN","DRY","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","","CLEAR","BUSINESS, MIXED RESIDENTIAL","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","CITY STREET","FALSE","FALSE","FALSE","TRUE","REAR END","DRY","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","CONDITION OF DRIVER","CLOUDY","BUSINESS CONTINUOUS","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","CITY STREET","FALSE","FALSE","FALSE","TRUE","OTHER","DRY","OTHER","STRAIGHT-LEVEL","MOVEMENT PRIOR TO CRASH","VIOLATIONS","CLEAR","BUSINESS, MIXED RESIDENTIAL","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","INTERSTATE","FALSE","FALSE","FALSE","TRUE","OTHER","DRY","ONE-WAY ROAD","STRAIGHT-LEVEL ELEVATED","MOVEMENT PRIOR TO CRASH","MOVEMENT PRIOR TO CRASH","CLEAR","OTHER","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","CITY STREET","FALSE","FALSE","FALSE","TRUE","RIGHT ANGLE","DRY","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","","CLEAR","BUSINESS, MIXED RESIDENTIAL","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","CITY STREET","TRUE","FALSE","FALSE","FALSE","SIDESWIPE SAME","DRY","TWO-WAY ROAD WITH PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","MOVEMENT PRIOR TO CRASH","CLEAR","BUSINESS, MIXED RESIDENTIAL","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","CITY STREET","FALSE","FALSE","FALSE","TRUE","LEFT TURN","DRY","ONE-WAY ROAD","STRAIGHT-LEVEL","VIOLATIONS","","CLEAR","BUSINESS, MIXED RESIDENTIAL","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","OFF ROAD / PRIVATE PROPERTY","FALSE","FALSE","FALSE","TRUE","SIDESWIPE SAME","DRY","OTHER","STRAIGHT-LEVEL","MOVEMENT PRIOR TO CRASH","MOVEMENT PRIOR TO CRASH","CLEAR","BUSINESS, MIXED RESIDENTIAL","OTHER","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DARK - CONTINUOUS STREET LIGHT"
"NONE","INTERSTATE","TRUE","FALSE","FALSE","TRUE","SIDESWIPE SAME","DRY","ONE-WAY ROAD","STRAIGHT-LEVEL ELEVATED","VIOLATIONS","CONDITION OF DRIVER","CLEAR","BUSINESS, MIXED RESIDENTIAL","ON ROADWAY","FULL CONTROL (ONLY RAMP ENTRANCE & EXIT)","DARK - CONTINUOUS STREET LIGHT"
"NONE","INTERSTATE","FALSE","FALSE","FALSE","FALSE","NON-COLLISION WITH MOTOR VEHICLE","DRY","TWO-WAY ROAD WITH PHYSICAL SEPARATION","STRAIGHT-LEVEL","CONDITION OF DRIVER","","CLEAR","OTHER","SHOULDER","FULL CONTROL (ONLY RAMP ENTRANCE & EXIT)","DARK - CONTINUOUS STREET LIGHT"
"NONE","STATE HWY","TRUE","FALSE","FALSE","TRUE","REAR END","DRY","TWO-WAY ROAD WITH PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","","CLEAR","BUSINESS CONTINUOUS","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DARK - CONTINUOUS STREET LIGHT"
"INJURY","CITY STREET","FALSE","FALSE","FALSE","TRUE","REAR END","DRY","TWO-WAY ROAD WITH PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","","CLEAR","BUSINESS, MIXED RESIDENTIAL","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DARK - STREET LIGHT AT INTERSECTION ONLY"
"NONE","CITY STREET","FALSE","FALSE","FALSE","TRUE","NON-COLLISION WITH MOTOR VEHICLE","DRY","TWO-WAY ROAD WITH PHYSICAL SEPARATION","CURVE-LEVEL","CONDITION OF DRIVER","MOVEMENT PRIOR TO CRASH","CLEAR","RESIDENTIAL DISTRICT","BEYOND SHOULDER - RIGHT","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DARK - CONTINUOUS STREET LIGHT"
"NONE","CITY STREET","FALSE","FALSE","FALSE","FALSE","REAR END","DRY","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","","CLEAR","BUSINESS CONTINUOUS","ON ROADWAY","PARTIAL CONTROL LIMITED ACCESS TO ROADWAY","DARK - CONTINUOUS STREET LIGHT"
"NONE","CITY STREET","FALSE","FALSE","FALSE","FALSE","HEAD-ON","DRY","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","MOVEMENT PRIOR TO CRASH","CLEAR","RESIDENTIAL DISTRICT","BEYOND SHOULDER - RIGHT","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DARK - STREET LIGHT AT INTERSECTION ONLY"
"NONE","CITY STREET","FALSE","FALSE","FALSE","TRUE","RIGHT ANGLE","DRY","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","","CLEAR","RESIDENTIAL DISTRICT","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DARK - NO STREET LIGHTS"
"INJURY","INTERSTATE","FALSE","FALSE","FALSE","FALSE","REAR END","DRY","OTHER","STRAIGHT-LEVEL","MOVEMENT PRIOR TO CRASH","MOVEMENT PRIOR TO CRASH","CLEAR","BUSINESS CONTINUOUS","ON ROADWAY","FULL CONTROL (ONLY RAMP ENTRANCE & EXIT)","DAYLIGHT"
"NONE","STATE HWY","FALSE","FALSE","FALSE","TRUE","RIGHT ANGLE","DRY","TWO-WAY ROAD WITH PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","","CLEAR","BUSINESS, MIXED RESIDENTIAL","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","OFF ROAD / PRIVATE PROPERTY","FALSE","FALSE","FALSE","FALSE","HEAD-ON","DRY","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","","CLEAR","BUSINESS CONTINUOUS","BEYOND SHOULDER - LEFT","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","CITY STREET","FALSE","FALSE","FALSE","TRUE","RIGHT ANGLE","DRY","OTHER","STRAIGHT-LEVEL","VIOLATIONS","VIOLATIONS","CLEAR","RESIDENTIAL SCATTERED","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","INTERSTATE","TRUE","FALSE","FALSE","FALSE","REAR END","DRY","TWO-WAY ROAD WITH PHYSICAL SEPARATION","STRAIGHT-LEVEL","CONDITION OF DRIVER","","CLEAR","OTHER","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","CITY STREET","FALSE","FALSE","FALSE","TRUE","OTHER","DRY","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","","CLEAR","RESIDENTIAL DISTRICT","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","CITY STREET","TRUE","FALSE","FALSE","FALSE","REAR END","DRY","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","","CLEAR","RESIDENTIAL DISTRICT","OTHER","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","CITY STREET","TRUE","FALSE","FALSE","TRUE","REAR END","DRY","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","MOVEMENT PRIOR TO CRASH","CLEAR","BUSINESS CONTINUOUS","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","OFF ROAD / PRIVATE PROPERTY","TRUE","FALSE","TRUE","FALSE","OTHER","DRY","OTHER","STRAIGHT-LEVEL","VIOLATIONS","","CLEAR","RESIDENTIAL DISTRICT","OTHER","PARTIAL CONTROL LIMITED ACCESS TO ROADWAY","DAYLIGHT"
"NONE","CITY STREET","FALSE","FALSE","FALSE","TRUE","OTHER","DRY","TWO-WAY ROAD WITH PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","MOVEMENT PRIOR TO CRASH","CLEAR","BUSINESS CONTINUOUS","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","CITY STREET","TRUE","FALSE","FALSE","TRUE","REAR END","DRY","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","","CLEAR","BUSINESS, MIXED RESIDENTIAL","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","OFF ROAD / PRIVATE PROPERTY","TRUE","FALSE","FALSE","FALSE","OTHER","DRY","OTHER","STRAIGHT-LEVEL","MOVEMENT PRIOR TO CRASH","VIOLATIONS","CLEAR","BUSINESS, MIXED RESIDENTIAL","OTHER","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"INJURY","CITY STREET","FALSE","FALSE","FALSE","FALSE","REAR END","DRY","TWO-WAY ROAD WITH PHYSICAL SEPARATION","STRAIGHT-LEVEL","MOVEMENT PRIOR TO CRASH","VIOLATIONS","CLOUDY","BUSINESS CONTINUOUS","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","CITY STREET","TRUE","FALSE","FALSE","TRUE","SIDESWIPE SAME","DRY","TWO-WAY ROAD WITH PHYSICAL SEPARATION","CURVE-LEVEL","VIOLATIONS","","CLEAR","BUSINESS CONTINUOUS","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","U.S. HWY","TRUE","FALSE","FALSE","TRUE","SIDESWIPE SAME","DRY","TWO-WAY ROAD WITH PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","","CLEAR","BUSINESS CONTINUOUS","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","CITY STREET","FALSE","FALSE","FALSE","FALSE","REAR END","DRY","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","","CLEAR","BUSINESS CONTINUOUS","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","CITY STREET","FALSE","FALSE","FALSE","TRUE","LEFT TURN","DRY","TWO-WAY ROAD WITH A PHYSICAL BARRIER","STRAIGHT-LEVEL","VIOLATIONS","MOVEMENT PRIOR TO CRASH","CLEAR","BUSINESS, MIXED RESIDENTIAL","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","INTERSTATE","FALSE","FALSE","FALSE","FALSE","SIDESWIPE SAME","DRY","TWO-WAY ROAD WITH PHYSICAL SEPARATION","STRAIGHT-LEVEL","CONDITION OF DRIVER","","CLEAR","OTHER","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","OFF ROAD / PRIVATE PROPERTY","TRUE","FALSE","FALSE","FALSE","OTHER","DRY","OTHER","STRAIGHT-LEVEL","VIOLATIONS","","CLEAR","OTHER","OTHER","PARTIAL CONTROL LIMITED ACCESS TO ROADWAY","DAYLIGHT"
"NONE","CITY STREET","FALSE","FALSE","FALSE","TRUE","RIGHT ANGLE","DRY","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","MOVEMENT PRIOR TO CRASH","CLEAR","BUSINESS CONTINUOUS","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","U.S. HWY","TRUE","FALSE","FALSE","FALSE","LEFT TURN","DRY","TWO-WAY ROAD WITH PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","","CLEAR","BUSINESS CONTINUOUS","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","STATE HWY","FALSE","FALSE","FALSE","FALSE","REAR END","DRY","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","MOVEMENT PRIOR TO CRASH","VIOLATIONS","CLEAR","BUSINESS CONTINUOUS","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","INTERSTATE","FALSE","FALSE","FALSE","FALSE","REAR END","DRY","TWO-WAY ROAD WITH PHYSICAL SEPARATION","STRAIGHT-LEVEL ELEVATED","VIOLATIONS","VIOLATIONS","CLEAR","BUSINESS, MIXED RESIDENTIAL","ON ROADWAY","FULL CONTROL (ONLY RAMP ENTRANCE & EXIT)","DAYLIGHT"
"NONE","CITY STREET","FALSE","FALSE","FALSE","FALSE","NON-COLLISION WITH MOTOR VEHICLE","DRY","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","","CLEAR","BUSINESS CONTINUOUS","BEYOND SHOULDER - RIGHT","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","CITY STREET","FALSE","FALSE","FALSE","TRUE","RIGHT ANGLE","DRY","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","MOVEMENT PRIOR TO CRASH","CLEAR","BUSINESS, MIXED RESIDENTIAL","ON ROADWAY","PARTIAL CONTROL LIMITED ACCESS TO ROADWAY","DAYLIGHT"
"NONE","CITY STREET","FALSE","FALSE","FALSE","FALSE","OTHER","DRY","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","MOVEMENT PRIOR TO CRASH","CLEAR","RESIDENTIAL DISTRICT","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","INTERSTATE","FALSE","FALSE","FALSE","FALSE","REAR END","DRY","TWO-WAY ROAD WITH PHYSICAL SEPARATION","STRAIGHT-LEVEL","CONDITION OF DRIVER","","CLEAR","OTHER","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","INTERSTATE","FALSE","FALSE","FALSE","FALSE","REAR END","DRY","TWO-WAY ROAD WITH PHYSICAL SEPARATION","STRAIGHT-LEVEL ELEVATED","VIOLATIONS","VIOLATIONS","CLEAR","BUSINESS, MIXED RESIDENTIAL","ON ROADWAY","FULL CONTROL (ONLY RAMP ENTRANCE & EXIT)","DAYLIGHT"
"NONE","STATE HWY","FALSE","FALSE","FALSE","TRUE","REAR END","DRY","TWO-WAY ROAD WITH PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","","CLEAR","BUSINESS, MIXED RESIDENTIAL","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","CITY STREET","FALSE","FALSE","FALSE","TRUE","REAR END","DRY","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","","CLEAR","BUSINESS, MIXED RESIDENTIAL","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","CITY STREET","FALSE","FALSE","FALSE","TRUE","REAR END","DRY","TWO-WAY ROAD WITH PHYSICAL SEPARATION","STRAIGHT-LEVEL","MOVEMENT PRIOR TO CRASH","","CLEAR","BUSINESS, MIXED RESIDENTIAL","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","CITY STREET","FALSE","FALSE","FALSE","FALSE","REAR END","DRY","TWO-WAY ROAD WITH PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","","CLEAR","BUSINESS CONTINUOUS","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","INTERSTATE","FALSE","FALSE","FALSE","FALSE","REAR END","DRY","ONE-WAY ROAD","STRAIGHT-LEVEL","CONDITION OF DRIVER","","CLEAR","BUSINESS, MIXED RESIDENTIAL","ON ROADWAY","FULL CONTROL (ONLY RAMP ENTRANCE & EXIT)","DAYLIGHT"
"NONE","CITY STREET","FALSE","FALSE","FALSE","FALSE","RIGHT TURN","DRY","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","MOVEMENT PRIOR TO CRASH","","CLEAR","RESIDENTIAL DISTRICT","ON ROADWAY","UNKNOWN","DAYLIGHT"
"NONE","STATE HWY","FALSE","FALSE","FALSE","TRUE","LEFT TURN","DRY","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","","CLEAR","BUSINESS, MIXED RESIDENTIAL","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","CITY STREET","FALSE","FALSE","FALSE","TRUE","REAR END","DRY","TWO-WAY ROAD WITH PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","","CLEAR","BUSINESS, MIXED RESIDENTIAL","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","INTERSTATE","FALSE","FALSE","FALSE","TRUE","SIDESWIPE SAME","DRY","TWO-WAY ROAD WITH A PHYSICAL BARRIER","STRAIGHT-LEVEL ELEVATED","VIOLATIONS","","CLEAR","OPEN COUNTRY","ON ROADWAY","FULL CONTROL (ONLY RAMP ENTRANCE & EXIT)","DAYLIGHT"
"NONE","CITY STREET","FALSE","FALSE","FALSE","FALSE","LEFT TURN","DRY","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","VIOLATIONS","CLEAR","MANUFACTURING OR INDUSTRIAL","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","STATE HWY","FALSE","FALSE","FALSE","TRUE","LEFT TURN","DRY","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","","CLEAR","BUSINESS CONTINUOUS","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","INTERSTATE","FALSE","FALSE","FALSE","FALSE","LEFT TURN","DRY","TWO-WAY ROAD WITH PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","","CLEAR","OTHER","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","INTERSTATE","FALSE","FALSE","FALSE","FALSE","REAR END","DRY","ONE-WAY ROAD","STRAIGHT-LEVEL","VIOLATIONS","","CLEAR","OTHER","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","CITY STREET","FALSE","FALSE","FALSE","FALSE","SIDESWIPE SAME","DRY","TWO-WAY ROAD WITH PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","","CLEAR","BUSINESS CONTINUOUS","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","U.S. HWY","FALSE","FALSE","FALSE","FALSE","REAR END","DRY","TWO-WAY ROAD WITH PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","","CLEAR","BUSINESS, MIXED RESIDENTIAL","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","INTERSTATE","TRUE","FALSE","FALSE","FALSE","SIDESWIPE SAME","DRY","ONE-WAY ROAD","STRAIGHT-LEVEL ELEVATED","VIOLATIONS","","CLEAR","BUSINESS, MIXED RESIDENTIAL","ON ROADWAY","FULL CONTROL (ONLY RAMP ENTRANCE & EXIT)","DAYLIGHT"
"NONE","CITY STREET","FALSE","FALSE","FALSE","TRUE","RIGHT ANGLE","DRY","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","","CLEAR","RESIDENTIAL DISTRICT","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","OFF ROAD / PRIVATE PROPERTY","TRUE","FALSE","FALSE","FALSE","OTHER","DRY","OTHER","STRAIGHT-LEVEL","VIOLATIONS","MOVEMENT PRIOR TO CRASH","CLEAR","BUSINESS, MIXED RESIDENTIAL","OTHER","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","STATE HWY","FALSE","FALSE","FALSE","TRUE","REAR END","DRY","TWO-WAY ROAD WITH NO PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","","CLEAR","BUSINESS, MIXED RESIDENTIAL","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","CITY STREET","TRUE","FALSE","FALSE","TRUE","REAR END","DRY","TWO-WAY ROAD WITH PHYSICAL SEPARATION","STRAIGHT-LEVEL","VIOLATIONS","","CLEAR","RESIDENTIAL DISTRICT","ON ROADWAY","NO CONTROL (UNLIMITED ACCESS TO ROADWAY)","DAYLIGHT"
"NONE","INTERSTATE","FALSE","FALSE","FALSE","FALSE","SIDESWIPE SAME","DRY","ONE-WAY ROAD","CURVE-LEVEL ELEVATED","VIOLATIONS","","CLEAR","BUSINESS, MIXED RESIDENTIAL","ON ROADWAY","FULL CONTROL (ONLY RAMP ENTRANCE & EXIT)","DAYLIGHT"
"NONE","INTERSTATE","FALSE","FALSE","FALSE","FALSE","REAR END","DRY","ONE-WAY ROAD","STRAIGHT-LEVEL ELEVATED","VIOLATIONS","","CLEAR","BUSINESS, MIXED RESIDENTIAL","ON ROADWAY","FULL CONTROL (ONLY RAMP ENTRANCE & EXIT)","DAYLIGHT"
"NONE","INTERSTATE","TRUE","FALSE","FALSE","FALSE","REAR END","DRY","TWO-WAY ROAD WITH A PHYSICAL BARRIER","CURVE-LEVEL ELEVATED","MOVEMENT PRIOR TO CRASH","MOVEMENT PRIOR TO CRASH","CLEAR","BUSINESS, MIXED RESIDENTIAL","ON ROADWAY","UNKNOWN","DARK - CONTINUOUS STREET LIGHT"
